Block Size,QP,I_Period,PSNR,Bit Count,Total Bit Count,Elapsed Time (s)
8,0,1,38.330235211154786,1623608,0,25.622333765029907
8,0,1,39.745047870088015,1623608,0,25.622333765029907
8,0,1,47.60464228459233,1623608,0,25.622333765029907
8,0,1,38.95149519409972,1623608,0,25.622333765029907
8,0,1,39.36106369834933,1623608,0,25.622333765029907
8,0,1,47.57887366989784,1623608,0,25.622333765029907
8,0,1,38.631363873476026,1623608,0,25.622333765029907
8,0,1,40.65078727725339,1623608,0,25.622333765029907
8,0,1,51.12903946544886,1623608,0,25.622333765029907
8,0,1,38.047676480194426,1623608,0,25.622333765029907
8,3,1,31.147900730559677,1623608,3,26.872704029083252
8,3,1,31.443227045752153,1623608,3,26.872704029083252
8,3,1,39.684875142218175,1623608,3,26.872704029083252
8,3,1,31.219316562007005,1623608,3,26.872704029083252
8,3,1,31.810407244844026,1623608,3,26.872704029083252
8,3,1,38.93031866798769,1623608,3,26.872704029083252
8,3,1,31.394828704817385,1623608,3,26.872704029083252
8,3,1,31.49868476678919,1623608,3,26.872704029083252
8,3,1,38.60399554889299,1623608,3,26.872704029083252
8,3,1,31.101041617405794,1623608,3,26.872704029083252
8,6,1,27.165543637218384,1623608,6,25.971782684326172
8,6,1,28.35348322951007,1623608,6,25.971782684326172
8,6,1,31.94301502946045,1623608,6,25.971782684326172
8,6,1,27.220540816744098,1623608,6,25.971782684326172
8,6,1,28.00462507249941,1623608,6,25.971782684326172
8,6,1,31.572597900591855,1623608,6,25.971782684326172
8,6,1,27.078169035974014,1623608,6,25.971782684326172
8,6,1,28.652223920944635,1623608,6,25.971782684326172
8,6,1,31.414408589569828,1623608,6,25.971782684326172
8,6,1,27.44184595218637,1623608,6,25.971782684326172
8,9,1,11.080598970061345,1623608,9,25.617953777313232
8,9,1,11.45013729405867,1623608,9,25.617953777313232
8,9,1,22.690133813981994,1623608,9,25.617953777313232
8,9,1,11.198137666666586,1623608,9,25.617953777313232
8,9,1,11.295170382471495,1623608,9,25.617953777313232
8,9,1,22.072893052715767,1623608,9,25.617953777313232
8,9,1,11.997351483660626,1623608,9,25.617953777313232
8,9,1,12.230801529578885,1623608,9,25.617953777313232
8,9,1,23.155698557869595,1623608,9,25.617953777313232
8,9,1,11.925901535060978,1623608,9,25.617953777313232
8,0,4,38.330235211154786,1623608,0,32.05031967163086
8,0,4,49.822168440126724,1647368,0,32.05031967163086
8,0,4,49.657554653051285,1647368,0,32.05031967163086
8,0,4,49.608514146137004,1647368,0,32.05031967163086
8,0,4,39.36106369834933,1623608,0,32.05031967163086
8,0,4,49.97836184934308,1647368,0,32.05031967163086
8,0,4,49.65299053045135,1647368,0,32.05031967163086
8,0,4,49.5358579067577,1647368,0,32.05031967163086
8,0,4,51.12903946544886,1623608,0,32.05031967163086
8,0,4,49.84194399325475,1647368,0,32.05031967163086
8,3,4,31.147900730559677,1623608,3,32.04729437828064
8,3,4,37.430454110338786,1647368,3,32.04729437828064
8,3,4,36.844170691045754,1647368,3,32.04729437828064
8,3,4,36.44829477712272,1647368,3,32.04729437828064
8,3,4,31.810407244844026,1623608,3,32.04729437828064
8,3,4,38.45354358283497,1647368,3,32.04729437828064
8,3,4,37.23175528062554,1647368,3,32.04729437828064
8,3,4,36.497547068489624,1647368,3,32.04729437828064
8,3,4,38.60399554889299,1623608,3,32.04729437828064
8,3,4,38.4497659637435,1647368,3,32.04729437828064
8,6,4,27.165543637218384,1623608,6,31.991559982299805
8,6,4,28.348653210617066,1647368,6,31.991559982299805
8,6,4,27.972833121555208,1647368,6,31.991559982299805
8,6,4,27.36940992113587,1647368,6,31.991559982299805
8,6,4,28.00462507249941,1623608,6,31.991559982299805
8,6,4,29.384602875912247,1647368,6,31.991559982299805
8,6,4,28.084985472739888,1647368,6,31.991559982299805
8,6,4,27.53194332554461,1647368,6,31.991559982299805
8,6,4,31.414408589569828,1623608,6,31.991559982299805
8,6,4,29.39423489408756,1647368,6,31.991559982299805
8,9,4,11.080598970061345,1623608,9,32.613166093826294
8,9,4,19.286057336840923,1647368,9,32.613166093826294
8,9,4,18.877211988308016,1647368,9,32.613166093826294
